acceleration, steering_angle
-0.024712,0.005923
0.939531,0.047647
1.156845,-0.106653
1.313391,-0.465994
1.286082,1.500000
1.944203,0.207727
1.501699,-1.430084
-0.400703,1.500000
-8.845020,-1.500000
10.000000,-1.500000
5.787011,-1.500000
2.079049,-1.500000
2.134545,-1.500000
2.214006,-1.500000
2.318939,-1.500000
2.450886,-0.044548
1.703572,0.952167
1.248230,0.825987
1.182385,0.641819
1.133127,0.483542
1.078706,0.400343
0.939033,0.331096
0.844072,0.281250
0.751654,0.241049
0.662109,0.209400
0.700099,0.189544
0.598837,0.192504
0.483992,0.195604
0.348925,0.186927
0.192249,0.165575
0.045760,0.161886
-0.044424,0.208768
-0.123842,0.261795
-0.213056,0.298865
-0.238828,0.367897
-0.288939,-0.177548
-0.298273,-1.500000
-0.468024,-1.500000
-9.040564,-1.500000
2.171220,-1.500000
1.970693,-1.500000
3.041853,-1.500000
3.482809,-1.431867
-2.862711,1.500000
8.898595,1.500000
-10.000000,-1.500000
-6.837127,-1.500000
10.000000,-1.500000
10.000000,-0.598579
10.000000,1.500000
8.256165,1.500000
-5.417919,1.500000
-10.000000,1.500000
10.000000,1.500000
2.123662,1.500000
-8.342413,1.500000
10.000000,1.500000
10.000000,1.500000
2.193852,-1.500000
3.758278,1.500000
-7.900104,1.500000
-10.000000,1.500000
-2.984659,1.500000
-10.000000,1.500000
10.000000,1.500000
-1.882590,-1.500000
10.000000,-1.500000
9.453017,-1.500000
-7.079058,1.500000
-10.000000,1.500000
-5.749886,1.500000
-10.000000,1.500000
10.000000,1.500000
2.305083,1.500000
-5.425301,-1.500000
10.000000,-1.500000
10.000000,-0.526078
-10.000000,1.500000
5.745912,1.500000
5.901974,1.500000
-5.062582,-0.183910
-7.776073,1.500000
-10.000000,-1.500000
10.000000,-1.500000
10.000000,-1.500000
2.141586,-1.500000
-9.326127,-1.442141
-4.550224,1.500000
6.973612,1.500000
-6.520362,1.500000
-10.000000,-1.500000
