x, y, theta, v
25.500000,28.500000,0.000000,3.000000
25.649999,28.500444,0.000444,2.998764
25.799893,28.504079,0.004013,3.045741
25.951997,28.496610,-0.004066,3.103583
26.103479,28.462936,-0.037125,3.169253
26.248194,28.527495,0.032762,3.233557
26.408405,28.549226,0.049232,3.330767
26.561893,28.484600,-0.022868,3.405852
26.716407,28.556189,0.052235,3.385817
26.872035,28.489562,-0.022427,2.943566
27.002638,28.421707,-0.087336,3.443566
27.149955,28.332582,-0.163271,3.732916
27.301860,28.224133,-0.245587,3.836869
27.448302,28.100202,-0.330195,3.943596
27.587515,27.960561,-0.417156,4.054296
27.717626,27.805112,-0.506559,4.170243
27.897656,27.699915,-0.511199,4.292788
28.109960,27.668337,-0.434876,4.377966
28.327710,27.645942,-0.363450,4.440378
28.548917,27.626975,-0.302538,4.499497
28.773154,27.608764,-0.253112,4.556153
29.000481,27.593975,-0.210503,4.610089
29.230674,27.582000,-0.174114,4.657040
29.463359,27.573182,-0.142490,4.699244
29.698249,27.567363,-0.114894,4.736827
29.935073,27.564509,-0.090579,4.769932
30.173569,27.565179,-0.068338,4.804937
30.413732,27.571536,-0.045596,4.834879
30.655165,27.583785,-0.022356,4.859078
30.897528,27.600724,-0.000003,4.876525
31.140537,27.620661,0.019934,4.886137
31.383624,27.645053,0.039476,4.888425
31.625584,27.679649,0.064497,4.886204
31.865413,27.726228,0.095521,4.880012
32.102436,27.784162,0.130584,4.869359
32.334663,27.857286,0.172847,4.857418
32.576653,27.877957,0.151591,4.842971
32.807614,27.805207,0.044797,4.828057
33.028823,27.708551,-0.061668,4.804656
33.237491,27.589516,-0.167617,4.352628
33.414064,27.462294,-0.263598,4.461189
33.581711,27.315155,-0.361973,4.559723
33.737462,27.148664,-0.462521,4.711816
33.881960,26.962591,-0.564567,4.885956
34.124839,26.936300,-0.456826,4.742821
34.361980,26.936280,-0.352240,5.187751
34.541019,26.748591,-0.466637,4.687751
34.682385,26.561633,-0.570008,4.345894
34.794857,26.375711,-0.665841,4.845894
34.939853,26.181590,-0.728930,5.345894
35.197307,26.109731,-0.611046,5.845894
35.486129,26.064807,-0.482137,6.258703
35.798963,26.056861,-0.344124,5.987807
36.096457,26.090506,-0.212086,5.487807
36.362676,26.156969,-0.091072,5.987807
36.642272,26.264024,0.040967,6.093990
36.910005,26.409491,0.175347,5.676869
37.139009,26.577195,0.300529,6.176869
37.363449,26.789352,0.436737,6.676869
37.697226,26.782674,0.289504,6.786562
37.946375,27.013039,0.439156,6.974476
38.164264,27.285312,0.592952,6.579470
38.328039,27.570621,0.738038,6.079470
38.439664,27.853358,0.872098,5.930237
38.510709,28.141233,1.002868,5.430237
38.540836,28.411068,1.122612,5.930237
38.774006,28.594236,0.991842,5.836108
39.025022,28.743036,0.863148,6.336108
39.316023,28.868273,0.723429,6.808759
39.445651,29.183066,0.873571,6.454806
39.522519,29.496519,1.015908,5.954806
39.551694,29.792826,1.147219,5.667312
39.542298,30.076036,1.272191,5.167312
39.501611,30.331178,1.386136,5.667312
39.425461,30.604119,1.511108,5.782566
39.568226,30.855542,1.383595,5.511301
39.733662,31.075921,1.262064,6.011301
39.889816,31.332738,1.191327,6.511301
39.864684,31.657332,1.334910,6.011301
39.798841,31.950596,1.467467,6.298596
39.689844,32.246062,1.606359,6.593695
39.708009,32.575246,1.576501,6.340566
39.566570,32.858975,1.716319,5.951762
39.657697,33.142268,1.585075,5.451762
39.774411,33.388605,1.464856,5.951762
39.933161,33.640314,1.333612,6.451762
40.139475,33.888300,1.191343,6.558842
40.381209,34.109910,1.048891,6.092535
40.401045,34.413890,1.183240,5.865024
40.380773,34.706440,1.312571,6.213705
40.319501,35.011024,1.449591,5.887687
40.480325,35.257596,1.319760,5.387687
40.655464,35.462276,1.200955,5.166601
40.845497,35.637267,1.087024,5.666601
