acceleration, steering_angle
-0.058729,-0.003309
1.176932,-0.054567
1.031425,-0.019844
0.852585,0.756951
0.326824,-0.657520
-1.455246,-1.500000
1.588939,-1.500000
2.638838,-1.500000
6.329330,1.500000
3.652550,1.500000
3.495855,1.500000
3.246838,1.500000
2.980068,1.500000
2.699244,1.500000
2.410948,1.500000
2.122596,1.500000
1.842131,1.500000
1.577623,1.500000
1.336831,1.500000
1.126805,1.500000
0.953545,1.500000
0.821776,1.500000
0.734845,1.500000
0.694753,1.500000
0.702301,1.500000
0.757322,1.500000
0.858967,1.500000
1.006010,1.500000
1.197136,1.500000
1.431190,1.330792
1.641503,-1.041989
0.405457,-0.716887
0.379435,-0.453143
0.368556,-0.348824
0.350530,-0.273061
0.334372,-0.217153
0.319639,-0.173079
0.306231,-0.138878
0.293781,-0.111274
0.282158,-0.089535
0.271179,-0.071824
0.260770,-0.057828
0.250841,-0.046371
0.241352,-0.037331
0.232257,-0.029903
0.223531,-0.024067
0.215148,-0.019251
0.207091,-0.015491
0.199341,-0.012370
0.191886,-0.009955
0.184712,-0.007934
0.177809,-0.006388
0.171165,-0.005079
0.164770,-0.004093
0.158614,-0.003246
0.142937,0.031344
0.036716,0.013450
0.022618,0.080775
0.023888,0.035911
0.047150,0.066544
0.068864,0.016249
0.056708,0.111399
0.074758,0.058867
0.058402,0.175599
0.015843,0.098454
-0.041449,0.205956
-0.046726,0.153172
-0.101208,0.235239
-0.094992,0.216833
0.090742,-1.500000
-0.371517,-1.500000
-0.137384,-1.500005
-2.261889,-1.500000
-7.247562,-1.500000
-6.646416,-1.500000
10.000000,-1.500000
-3.745451,-1.500000
-10.000000,1.500000
6.124653,1.500000
10.000000,1.500000
7.503539,1.500000
9.927777,1.500000
-3.988797,-1.500000
4.210021,-1.500000
4.424823,1.128042
1.093226,1.500000
0.516244,1.500000
-5.389118,1.500000
-8.575600,1.500000
-10.000000,-1.500000
-10.000000,1.500000
-10.000000,1.500000
10.000000,1.500000
10.000000,1.500000
7.385330,1.500000
2.074435,1.500000
2.593637,1.500000
3.099896,1.500000
3.655371,1.500000
4.260294,1.500000
4.915397,1.500000
5.620221,1.310058
6.247265,-1.500000
2.388201,-1.500000
1.617560,-1.500000
0.808839,-1.500000
0.080161,-1.500000
-0.606492,-1.500000
-1.026793,-1.500000
-1.266933,-1.500000
-1.303303,-1.500000
-1.142264,-1.500000
-0.885365,-1.500000
-0.485009,-1.500000
0.013834,-1.500000
0.548520,-0.909548
0.857123,1.500000
-1.289685,1.500000
-1.378271,1.500000
-1.262711,1.500000
-0.833571,1.254762
-0.467878,1.111608
-4.802473,1.116539
-5.811482,1.133746
-7.426360,1.175215
-6.154144,1.500000
9.977506,1.184834
-10.000000,1.500000
-10.000000,-1.500000
10.000000,-1.500000
10.000000,-1.500000
10.000000,-1.500000
10.000000,-1.500000
10.000000,-1.500000
-4.931295,-1.500000
-8.149670,-1.500000
-10.000000,1.500000
-10.000000,-1.500000
10.000000,-1.500000
10.000000,-1.500000
0.352403,-1.500000
-7.962056,-1.500000
-4.168909,1.500000
6.073722,1.500000
-8.861214,1.500000
-10.000000,-1.500000
-7.998052,-1.500000
10.000000,-1.500000
10.000000,-1.500000
-1.330902,0.540847
-1.351056,1.500000
3.761842,1.500000
-7.719095,1.500000
-10.000000,-1.500000
-10.000000,-1.500000
10.000000,-1.500000
10.000000,-1.329830
-4.944599,1.500000
10.000000,1.500000
3.467192,1.500000
0.428881,1.500000
-1.378945,1.500000
-5.392453,1.500000
-2.398982,-1.500000
-10.000000,1.500000
-8.778090,1.500000
10.000000,1.500000
10.000000,1.500000
10.000000,1.500000
10.000000,-0.167583
10.000000,-1.500000
1.605780,-1.500000
-8.609122,-1.500000
-10.000000,-1.500000
-10.000000,-1.500000
-10.000000,-1.500000
-10.000000,-1.500000
-10.000000,-1.500000
-9.999959,-1.499998
-2.922718,-1.500000
5.060291,-1.500000
10.000000,-1.500000
10.000000,-1.500000
10.000000,-1.500000
