x, y, theta, v
24.500000,2.500000,0.000000,3.000000
24.650000,2.499752,-0.000248,2.997064
24.799796,2.495632,-0.004331,3.055910
24.952576,2.493454,-0.005847,3.107481
25.100665,2.540475,0.042039,3.150111
25.253619,2.502886,-0.001945,3.166452
25.395577,2.432786,-0.071769,3.093690
25.529156,2.354786,-0.139989,3.173136
25.660393,2.265631,-0.209961,3.305078
25.820641,2.305999,-0.137080,3.621545
25.992545,2.362902,-0.057220,3.804172
26.167774,2.436889,0.026667,3.978965
26.343926,2.529360,0.114408,4.141307
26.518126,2.641300,0.205730,4.290310
26.687266,2.773241,0.300337,4.425273
26.848090,2.925205,0.397920,4.545820
26.997301,3.096662,0.498161,4.651950
27.131670,3.286521,0.600742,4.744056
27.248152,3.493154,0.705355,4.822937
27.343988,3.714439,0.811707,4.889779
27.416787,3.947838,0.919533,4.946119
27.464591,4.190480,1.028601,4.993797
27.485902,4.439259,1.138721,5.034885
27.479693,4.690927,1.249747,5.071628
27.445390,4.942177,1.361583,5.106365
27.382835,5.189713,1.474185,5.141480
27.292243,5.430296,1.587561,5.179346
27.174152,5.660771,1.701772,5.222295
27.029373,5.878073,1.816931,5.272595
26.858959,6.079219,1.933198,5.332452
26.668409,6.265708,2.045258,5.404011
26.643749,6.534781,1.944264,5.486087
26.624026,6.808375,1.862808,5.506359
26.601365,7.082759,1.805521,5.525331
26.582466,7.358378,1.759799,5.543759
26.566813,7.635124,1.723179,5.561286
26.554062,7.912896,1.693618,5.578004
26.543651,8.191601,1.669806,5.593986
26.535227,8.471174,1.650553,5.609298
26.528383,8.751555,1.635036,5.623987
26.522866,9.032700,1.622494,5.638095
26.518395,9.314570,1.612394,5.651654
26.514800,9.597129,1.604236,5.664692
26.511890,9.880349,1.597675,5.677234
26.509555,10.164201,1.592380,5.689302
26.507667,10.448660,1.588129,5.700915
26.506156,10.733702,1.584699,5.712091
26.504934,11.019304,1.581951,5.722849
26.503958,11.305444,1.579735,5.733203
26.503169,11.592104,1.577962,5.743170
26.502540,11.879261,1.576533,5.752764
26.502031,12.166899,1.575392,5.762000
26.501627,12.454999,1.574471,5.770891
26.501300,12.743543,1.573739,5.779449
26.501041,13.032515,1.573147,5.787687
26.500830,13.321900,1.572678,5.795618
26.495746,13.611636,1.577217,5.802765
26.491932,13.901749,1.579168,5.804601
26.477818,14.191636,1.590855,5.805731
26.466788,14.481713,1.596064,5.806926
26.449819,14.771563,1.605705,5.809283
26.437323,15.061758,1.608065,5.812727
26.410425,15.351147,1.624162,5.815562
26.386389,15.640930,1.632707,5.819300
26.343309,15.928688,1.657900,5.822220
26.303801,16.217106,1.672168,5.823012
26.245222,16.502302,1.701585,5.820940
26.185507,16.787158,1.723640,5.818603
26.108509,17.067714,1.757026,5.813543
26.024668,17.346037,1.787884,5.808793
26.093609,17.628176,1.659793,5.813330
26.198107,17.899409,1.531601,5.794755
26.335980,18.154240,1.403819,5.787885
26.505003,18.389145,1.276189,5.674791
26.698691,18.596493,1.151052,5.312413
26.902819,18.766452,1.033907,4.980092
27.111488,18.902321,0.924089,5.480092
27.356110,19.025766,0.803246,5.292819
27.437045,19.277727,0.919960,4.792819
27.483267,19.512868,1.025648,5.099052
27.505777,19.766825,1.138088,5.599052
27.499049,20.046697,1.261555,5.974229
27.455149,20.342165,1.393294,6.470618
27.646863,20.602775,1.250609,6.271178
27.866697,20.826365,1.112321,6.481679
27.885650,21.149894,1.238514,6.702920
27.844046,21.482448,1.386322,6.757582
27.753185,21.807881,1.535335,6.783394
27.614488,22.117395,1.684918,6.513938
27.438495,22.391448,1.828559,6.085158
27.498638,22.689703,1.694373,5.585158
27.345523,22.923243,1.817533,5.085158
27.181050,23.117139,1.929667,4.585158
27.014117,23.274278,2.030776,5.085158
26.812335,23.428975,2.142910,5.585158
26.573093,23.573016,2.266070,5.954424
26.301099,23.694083,2.397373,6.058146
26.010622,23.779968,2.530963,6.187828
25.704887,23.827392,2.667413,6.342823
25.387794,23.832922,2.807280,6.525591
25.063957,23.793076,2.951178,6.738606
24.738905,23.704399,3.099773,6.984376
24.415755,23.572008,3.245559,7.265387
24.074857,23.697519,3.085348,7.577750
23.744738,23.883469,2.918249,7.697160
23.445504,24.125491,2.748516,7.778038
23.188782,24.417619,2.577000,7.818480
22.984630,24.751001,2.404593,7.822488
22.840625,25.114650,2.232097,7.792164
22.761481,25.496135,2.060269,7.740824
22.748815,25.882969,1.889574,7.677477
22.801608,26.263195,1.720276,7.612312
22.916725,26.625985,1.552415,7.555199
23.089531,26.961903,1.385813,7.510931
23.314325,27.262740,1.220187,7.486680
23.584765,27.521560,1.055096,7.487372
23.870720,27.763183,0.925486,7.514798
23.941154,28.132262,1.091197,7.557654
23.949791,28.510046,1.257853,7.493170
23.896101,28.880838,1.423087,7.424256
23.783202,29.234466,1.586801,7.361121
23.627102,29.567780,1.737546,7.319442
23.431583,29.877147,1.879005,7.296048
23.194899,30.154746,2.020326,7.055925
22.929722,30.387439,2.158044,6.765351
22.645853,30.571406,2.292425,6.394033
22.350454,30.693670,2.433421,6.086325
22.059546,30.783004,2.554787,6.585201
21.733067,30.825708,2.700000,6.085201
21.543539,31.063728,2.565813,5.585201
21.400375,31.303499,2.442652,6.085201
21.277668,31.581918,2.308465,6.585201
21.186382,31.898271,2.163253,7.085201
21.138451,32.249274,2.007015,7.585201
21.146233,32.628454,1.839752,8.085201
21.221702,33.025607,1.661463,7.838636
21.361996,33.391569,1.488611,7.431153
21.226058,33.737367,1.652477,6.931153
21.353012,34.059834,1.499636,6.431153
21.514987,34.337616,1.357821,6.931153
21.730118,34.609317,1.204980,7.431153
22.002428,34.862105,1.041114,7.448773
22.313064,35.067571,0.876859,7.050670
22.395902,35.410234,1.032335,6.842224
22.423828,35.751203,1.183215,7.145911
22.399137,36.107645,1.340791,6.702850
22.611625,36.366815,1.192985,6.202850
22.841440,36.575078,1.056204,5.802947
23.080997,36.738779,0.928242,6.302947
23.361758,36.881926,0.789253,6.802947
23.536216,37.173927,0.871097,6.736402
23.617246,37.500855,1.019643,6.668849
23.648680,37.832813,1.166700,6.856941
23.630639,38.175185,1.317904,6.470987
23.841450,38.420630,1.175211,5.970987
24.066202,38.617145,1.043543,5.470987
24.293991,38.768609,0.922900,5.970987
24.557513,38.908923,0.797461,6.470987
24.658244,39.216392,0.940155,6.223757
24.712087,39.522887,1.077397,6.723757
24.724408,39.858849,1.225664,6.897116
24.685999,40.201559,1.377754,6.918560
24.595832,40.535529,1.530318,6.849613
24.457351,40.848764,1.681361,6.579990
24.568982,41.158246,1.536263,6.460041
24.436624,41.452884,1.678715,5.960041
24.277154,41.704628,1.810142,5.521137
24.100141,41.916462,1.931890,6.021137
23.880469,42.122325,2.064664,6.521137
23.615134,42.311825,2.208464,7.021137
23.430196,42.610219,2.179419,7.521137
23.373299,42.981946,2.013568,8.021137
23.378902,43.382964,1.836692,8.101426
23.455739,43.780681,1.658045,7.670970
23.594255,44.138344,1.488890,7.170970
23.778182,44.446123,1.330761,6.670970
23.992236,44.701926,1.183657,6.170970
24.222792,44.906978,1.047579,5.670970
24.458272,45.064930,0.922527,5.170970
24.689277,45.181051,0.808501,4.670972
24.908525,45.261520,0.705500,4.524836
25.127803,45.317221,0.605721,4.777850
25.364049,45.352680,0.500363,5.277850
25.627691,45.364187,0.383980,5.777850
25.915819,45.343186,0.256571,6.277850
