acceleration, steering_angle
-0.000000,-0.000000
2.232314,-0.000000
2.157788,-0.000000
2.077223,-0.000000
1.999631,-0.000000
1.924938,-0.000000
1.853035,-0.000000
1.783818,0.000000
1.717186,-0.000000
1.642592,0.009626
1.568913,0.020579
1.488745,0.036339
1.350718,0.037001
1.238475,0.053759
1.120452,0.064579
1.005562,0.085596
0.885533,0.101442
0.771169,0.131273
0.666609,0.168147
0.619805,0.291517
0.524419,0.311794
0.517053,-0.452643
0.295801,-0.800000
0.385850,-0.800000
0.277099,-0.800000
0.408971,-0.800000
-0.763622,-0.800000
-9.794195,-0.800000
-9.724170,-0.800000
-4.087940,-0.800000
4.000000,-0.800000
4.000000,0.155661
4.000000,0.682477
4.000000,0.800000
4.000000,0.800000
4.000000,0.800000
4.000000,0.800000
4.000000,0.800000
4.000000,0.800000
4.000000,0.800000
4.000000,0.800000
4.000000,0.800000
4.000000,0.800000
4.000000,0.800000
3.186522,0.800000
1.450906,0.800000
1.191941,0.800000
0.971460,0.800000
0.801172,0.800000
0.696894,0.800000
0.659097,0.800000
0.702746,0.800000
0.863004,0.800000
1.081406,0.800000
0.695249,0.800000
-7.049949,0.800000
-8.288841,0.800000
-10.000000,0.800000
-10.000000,0.800000
-10.000000,0.800000
