x, y, theta, v
0.500000,0.500000,0.000000,3.000000
0.650000,0.500000,0.000000,3.000000
0.800000,0.500000,0.000000,3.111616
0.955581,0.500000,0.000000,3.219505
1.116556,0.500000,0.000000,3.323366
1.282724,0.500000,0.000000,3.423348
1.453892,0.500000,0.000000,3.519595
1.629871,0.500000,0.000000,3.612246
1.810484,0.500000,0.000000,3.701437
1.995556,0.500000,0.000000,3.787297
2.184918,0.500911,0.000911,3.869426
2.378378,0.503078,0.002902,3.947872
2.575727,0.507235,0.006486,4.022309
2.776780,0.512258,0.010205,4.089845
2.981132,0.519833,0.015694,4.151769
3.188482,0.529778,0.022384,4.207791
3.398427,0.543455,0.031358,4.258070
3.610617,0.560864,0.042106,4.302346
3.824498,0.583897,0.056116,4.340905
4.039443,0.614016,0.074132,4.374235
4.253118,0.660682,0.104844,4.405225
4.466266,0.716206,0.137757,4.431446
4.687270,0.700343,0.091696,4.457299
4.904078,0.648736,0.020453,4.472089
5.117367,0.581605,-0.051026,4.491381
5.326214,0.499058,-0.122814,4.505236
5.529227,0.401443,-0.194823,4.525685
5.725578,0.288967,-0.267159,4.487504
5.911703,0.163661,-0.338885,3.997794
6.069091,0.040433,-0.402783,3.511586
6.200143,-0.076415,-0.458910,3.307189
6.317199,-0.193212,-0.511771,3.507189
6.476248,-0.267065,-0.498271,3.707189
6.657638,-0.305221,-0.445101,3.907189
6.851599,-0.328554,-0.382650,4.107189
7.056622,-0.340309,-0.317003,4.307189
7.271974,-0.338505,-0.248160,4.507189
7.496662,-0.321120,-0.176120,4.707189
7.729404,-0.286121,-0.100883,4.907189
7.968607,-0.231500,-0.022449,5.107189
8.212339,-0.155321,0.059181,5.307189
8.458317,-0.055771,0.144009,5.507189
8.703895,0.068785,0.232032,5.707189
8.946059,0.219738,0.323253,5.907189
9.181434,0.398164,0.417670,6.107189
9.406303,0.604751,0.515284,6.266515
9.615282,0.838205,0.615444,6.339060
9.802006,1.094317,0.716764,6.398657
9.963371,1.370575,0.819036,6.447230
10.096693,1.664075,0.922085,6.487289
10.199752,1.971631,1.025774,6.522133
10.270804,2.289903,1.130020,6.555088
10.308542,2.615478,1.234793,6.590226
10.312043,2.944971,1.340127,6.633376
10.280677,3.275153,1.446151,6.687446
10.214007,3.602811,1.553040,6.722209
10.112235,3.923143,1.660483,6.369711
9.983805,4.214586,1.762293,5.955269
9.836661,4.473452,1.857479,5.455269
9.679943,4.696699,1.944673,4.955269
9.520470,4.886318,2.023875,4.455269
